Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.11733060,0.18357788,0.20758107,0.02790979,0.04860202,0.34338242,0.00521958,0.06477024,0.16739362,0.01164191,0.22884054,0.05752239,0.33392572,0.00784608,0.00012750,0.00007127,0.00246498,0.01473731,0.00087887,0.00046822,0.00395376,0.00014260,0.00242366,0.00036647,0.00024580,0.00038570,0.00051114,0.01365391,0.00625278,0.00047866,0.00092527,0.04025453,0.05279522,0.00434479,0.00287265,0.05153468,0.04348984,0.00274605,0.00335134,0.00003346,0.00003620,0.00000077,0.39680627,0.00080560,0.00145616,0.00263075,0.00002678,0.00000011,0.00000026,0.00000038,0.00000077,0,0.005153837563296804,-0.023220456124651127,0.04817802048489007,0.4057948589324951,0.44209831953048706,0,0.4057948589324951,0.44209831953048706,0
00:00:00:02.002,51,0.11780734,0.19833963,0.21329978,0.02677468,0.04456043,0.34832036,0.00526153,0.06812878,0.18269716,0.01161641,0.22577825,0.05172683,0.31683323,0.00740989,0.00014182,0.00006044,0.00269979,0.01370548,0.00087576,0.00050593,0.00382319,0.00012269,0.00274743,0.00046301,0.00029815,0.00037769,0.00046507,0.01194572,0.00610178,0.00064312,0.00086026,0.03040163,0.04907671,0.00310605,0.00233519,0.05139377,0.04268509,0.00295366,0.00335790,0.00002979,0.00003070,0.00000074,0.40798032,0.00081113,0.00139128,0.00247895,0.00002695,0.00000010,0.00000024,0.00000039,0.00000074,0,0.002891454312525118,-0.023135861959232326,0.04844422808144926,0.4051384925842285,0.4422954022884369,0,0.4051384925842285,0.4422954022884369,0
00:00:00:03.003,51,0.19935732,0.27495238,0.18683289,0.03258447,0.03641358,0.40666211,0.00324322,0.10719892,0.24551025,0.01325114,0.23167115,0.04122896,0.40250391,0.00462889,0.00013542,0.00006415,0.00375449,0.01653682,0.00162963,0.00037638,0.00547721,0.00008621,0.00355266,0.00023476,0.00013084,0.00033169,0.00048203,0.01627299,0.00469272,0.00043291,0.00113159,0.05044926,0.08971350,0.00351885,0.00075213,0.05705430,0.03917162,0.00236560,0.00289159,0.00000818,0.00000741,0.00000059,0.50837350,0.00024854,0.00076292,0.00219761,0.00002341,0.00000007,0.00000029,0.00000026,0.00000059,0,0.0023177144429306824,-0.02120878823066753,0.0478965814222295,0.4058305621147156,0.44445037841796875,0,0.4058305621147156,0.44445037841796875,0
00:00:00:04.004,51,0.73048645,0.75300241,0.12204278,0.05336163,0.00372422,0.48751846,0.00042768,0.56838602,0.69633627,0.17905974,0.01841739,0.00706209,0.64399087,0.00022333,0.00016157,0.00005544,0.00454838,0.02246134,0.00217010,0.00039395,0.00750296,0.00010023,0.00400552,0.00027907,0.00013601,0.00033238,0.00036135,0.01471027,0.00595973,0.00067969,0.00093544,0.03545338,0.07516537,0.00224271,0.00078474,0.03811218,0.01946878,0.00269985,0.00464297,0.00003088,0.00002595,0.00000027,0.47308499,0.00171706,0.00082634,0.00115733,0.00002205,0.00000005,0.00000027,0.00000053,0.00000027,0,0.041178069194921896,-0.024511500786829062,0.03746145803537963,0.4177316725254059,0.4529016613960266,0,0.4177316725254059,0.4529016613960266,0
00:00:00:05.005,51,0.74025726,0.75205189,0.06825375,0.10859440,0.00394826,0.45732442,0.00042301,0.60361648,0.76924407,0.16241316,0.01808347,0.00440396,0.58366096,0.00021056,0.00015524,0.00004142,0.00407034,0.01486350,0.00168828,0.00028843,0.00455862,0.00011837,0.00356472,0.00057282,0.00028168,0.00027606,0.00032189,0.02027697,0.00636754,0.00081629,0.00133060,0.02692468,0.05821685,0.00244248,0.00058331,0.05712011,0.02326927,0.00177455,0.00322680,0.00002594,0.00002124,0.00000031,0.41742751,0.00284247,0.00136219,0.00160084,0.00001837,0.00000004,0.00000032,0.00000062,0.00000031,0,0.04910095862741438,-0.02815926758224608,0.03840717546241113,0.4164491593837738,0.4562477171421051,0,0.4164491593837738,0.4562477171421051,0
00:00:00:06.006,51,0.72519547,0.75037682,0.06534786,0.11416022,0.00375020,0.47365236,0.00042877,0.59467721,0.77363789,0.17175934,0.01650890,0.00399473,0.56516516,0.00020274,0.00025882,0.00004874,0.00348839,0.01551077,0.00139708,0.00074483,0.00695984,0.00017452,0.00256717,0.00076595,0.00047706,0.00019559,0.00017648,0.00985678,0.00981376,0.00094651,0.00081525,0.01138678,0.03205717,0.00077711,0.00081541,0.02840344,0.01955273,0.00408335,0.00687202,0.00005497,0.00006039,0.00000030,0.34821731,0.00475963,0.00150087,0.00178088,0.00002190,0.00000004,0.00000021,0.00000078,0.00000030,0,0.055400163703572605,-0.023585749676129825,0.034157834172213644,0.41683751344680786,0.45683830976486206,0,0.41683751344680786,0.45683830976486206,0
00:00:00:07.007,51,0.64250481,0.68288434,0.11443833,0.05519773,0.00584485,0.44983056,0.00059631,0.50256145,0.69449735,0.11736840,0.03357760,0.00723318,0.63515955,0.00033496,0.00017538,0.00004267,0.00505920,0.02142082,0.00224157,0.00035272,0.00432261,0.00005141,0.00771800,0.00051541,0.00027639,0.00012950,0.00014879,0.02621322,0.00995481,0.00055875,0.00082233,0.03349518,0.10201375,0.00160192,0.00044446,0.05031461,0.03170174,0.00256633,0.00374629,0.00002184,0.00001768,0.00000028,0.44492412,0.00200540,0.00099409,0.00113831,0.00002305,0.00000003,0.00000028,0.00000036,0.00000028,0,0.04703318619163436,-0.02383080077498627,0.04052967879364283,0.414985716342926,0.45247751474380493,0,0.414985716342926,0.45247751474380493,0
00:00:00:08.008,51,0.50471961,0.50571644,0.09848224,0.05594625,0.01112744,0.43995520,0.00094845,0.25279787,0.52209854,0.03824324,0.11475681,0.01551893,0.41851330,0.00123754,0.00013045,0.00003593,0.00344233,0.01195555,0.00095385,0.00025138,0.00327159,0.00005059,0.00597794,0.00044380,0.00025019,0.00046632,0.00049833,0.01317577,0.00709342,0.00088035,0.00087407,0.03352112,0.04774613,0.00424371,0.00125941,0.04890832,0.03835558,0.00174348,0.00221310,0.00002490,0.00002324,0.00000042,0.45217586,0.00076126,0.00089394,0.00184913,0.00002109,0.00000005,0.00000020,0.00000031,0.00000042,0,0.034826161335864525,-0.019327867633184274,0.04903562575915635,0.4062614440917969,0.44834449887275696,0,0.4062614440917969,0.44834449887275696,0
00:00:00:09.009,51,0.28598142,0.27938560,0.13104895,0.04712654,0.03623707,0.46287206,0.00214561,0.19293456,0.26248544,0.01949631,0.19778173,0.03822058,0.40448862,0.00188299,0.00010297,0.00003540,0.00288287,0.01070962,0.00096873,0.00018087,0.00240692,0.00003482,0.00555585,0.00030748,0.00021351,0.00215118,0.00250780,0.00512799,0.00390904,0.00118121,0.00224306,0.03631976,0.03832525,0.00790729,0.00153214,0.03489344,0.04836020,0.00148637,0.00143753,0.00001777,0.00001977,0.00000069,0.38336501,0.00139998,0.00088557,0.00245508,0.00001880,0.00000008,0.00000019,0.00000031,0.00000069,0,0.0168962326910242,-0.01557254639373921,0.04261165933767468,0.40532732009887695,0.4441775977611542,0,0.40532732009887695,0.4441775977611542,0
00:00:00:10.010,51,0.22850707,0.18485191,0.10738607,0.05880651,0.05302383,0.43477592,0.00290119,0.15075357,0.17786396,0.01571107,0.23100446,0.05800939,0.40677020,0.00262459,0.00013003,0.00004736,0.00263592,0.01128374,0.00079307,0.00024662,0.00362893,0.00002415,0.00691610,0.00022837,0.00013728,0.00255933,0.00332310,0.00678678,0.00231714,0.00104090,0.00230429,0.03601310,0.03576481,0.00582628,0.00174129,0.03250165,0.03369798,0.00236165,0.00278753,0.00002198,0.00002099,0.00000088,0.38337317,0.00093158,0.00121868,0.00331690,0.00002406,0.00000010,0.00000023,0.00000041,0.00000088,0,0.015382797571114333,-0.016419539916352945,0.0446158066690543,0.40350931882858276,0.44198113679885864,0,0.40350931882858276,0.44198113679885864,0
